Address,Allocation %,Type,Sum,,,
0xa98274c60ea63f55344c2fcfbe6d6dcc16454bc4,0.01%,User,,,,
0xcb3b366ced5ab2170d2ac72a5a97c4747e9186d8,0.01%,User,,,,
0x50e0429c15751e4a082c112f33cb3af4cac19e0e,0.01%,User,,,,
0x2ba6c95b61c8d44eb5ed18029150beba0cfb7a3a,0.01%,User,,,,
0xa80d2908abdfef9c3462cda142d23d291512de38,0.01%,User,,,,
0xb1d009a27f194ad430430469c27aadfea7a0bd6b,0.01%,User,,,,
0x37df42e38fb750891e9d00dd4474671483177f64,0.01%,User,,,,
0x436c26b06cf08e2a194326785f3f849565f87d99,0.01%,User,,,,
0x34cdf14ba087397c2b3c69e8461b6010a67604f4,0.01%,User,,,,
0x17609008d5bda9bc103dd19af1ebebe9ffaa05ba,0.01%,User,,,,
0xc3740cb3712a5a46d13a14ba0a996e919dd9e3a0,0.01%,User,,,,
0x3a652f60622d22cde49de3d9b5e9d0dcd4d6c32a,0.01%,User,,,,
0x7fa77bb7346514062b43e732c4b299067cab15b9,0.01%,User,,,,
0x7c293364f42425add2cf2ae1450ea36075076e0a,0.01%,User,,,,
0x87a774178d49c919be273f1022de2ae106e2581e,0.01%,User,,,,
0x56c4832edb1f32c1b20f1d490ff73859823d3666,0.01%,User,,,,
0x9ee0c94a4e5b8622d0765da1e93bce27f01b37ff,0.01%,User,,,,
0xeb2156fb13b8eead7fa457628800a4cc89839690,0.01%,User,,,,
0xfd71b5e157d7a57c0c2f8a5d31e4e0656984f23f,0.01%,User,,,,
0xba133a363d3aa68b0373a7b6f32e3b779e2634ac,0.01%,User,,,,
0xc7345920898ec678117f1cf80dc35a4353fb9cc7,0.01%,User,,,,
