Address,Allocation % ,Type ,SumCheck 
0x6689F80A5Cc6503FA44aD820D62ae46942ff18eE,0.058907612306390600%,staker,
0xFA3539c8C3D57c83C10184b2B6b6529c3BAc61E9,0.058050525043352900%,staker,
0x9086551532b89e784bd853C53F0007Ce1f28f1cB,0.057868778228282500%,staker,
0x36dcaCdfBF8e982f40bCd077513b4FAFa2566824,0.057835984052916300%,staker,
0xbF5b8AF03C303D315190f9EE642b061037096a02,0.057593118435850600%,staker,
0x5c91f2A54dd77f960A34ef3Cd6F9d302cd8eB2b5,0.057247534865890000%,staker,
0xd100B925023A31e8bE002B4c63BdD4fB76c49D8e,0.055981047846658400%,staker,
0x75516e1E28000d9aF5Aa66f604B3Bb2a319f2350,0.055024499553579200%,staker,
0x63cDe4611D38C325112C8BB7327798D3047C613B,0.054816536752374700%,staker,
0x9Df0e74f6038A97E2831a973dDf6D8B7DaD6A3F0,0.054816061861565200%,staker,
0x459A5a6223c14A7467C611700085B31Abb70f12e,0.054726858894301800%,staker,
0x8510C764e24c6d8927cFe41A7dbdf9bEb4B5B7c7,0.054672076760896900%,staker,
0x2D8c20Ecc1C769d0EFB2576097fC20FC26d62398,0.054618453658117300%,staker,
0x482e0d93a0E2FDa95a26Ada6C71eff64B84DA036,0.054546618395521700%,staker,
0x22B85F4f094932Ce97173c97f6e3c05801995E38,0.054375738753479800%,staker,
0xcEf8455125E2Fc8b1C3444B7E5759306d8605A01,0.054364232367982300%,staker,
0x4a5D50E1c96307D8C3352E074E1fA64f30509388,0.054061233283040500%,staker,
0x656Faa1fc88ff4087C9523a211ea47b29f979A0F,0.053916339055136600%,staker,
0xf2913D3E85A5210c347Ff7983417B79f57aEE175,0.053647324260545900%,staker,
0x7F677cFf258702DDb349d227E46991D5A3277B4D,0.053024004829586200%,staker,
0xB3427145823484C59C3702B619F5a86c60d6f19A,0.052809400300392700%,staker,
0x01c344f461bE873C942Da998f081A58c53dCC2cc,0.052524586676222100%,staker,
0x98A6C49f9B8Bff78ffCa64bDa027428fD1D69E0C,0.052224785284197900%,staker,
0xE8E193b25cEb8ea06d85f3901342f8C305E4dD2e,0.051940952752621000%,staker,
0x64a407673FdBc4DcbE6Ca5eC93cCb2bc5BFe274f,0.051713807519602900%,staker,
0x5B616B7cB4bEeD1324D37e93cB78afC2E79F7B28,0.051513986840057100%,staker,
0x8125a01dA788E6f7314D304A6c9eBDBfB1Ffd4bE,0.051263169744233500%,staker,
0x669FE44e8dE0F5bD87a8eEc5197b2D33772A76dC,0.051197532148470800%,staker,
0x330270F8eD7Ce1CFFbA8a49b5FcD4ff3fEaAD2c0,0.051027254620529500%,staker,
0x0EdF331558ABfD311e6A75B23915CE2567DC4560,0.050825223001303700%,staker,
0xFc4C6e4Bb310Eb67141F4DdF7F5161133bB348C2,0.050793741256205000%,staker,
0xA090a6a46D6f2125fb08eb7c9198303c753Dc4cb,0.050591777837481000%,staker,
0x68f334603Fe78c0F28036205fEBFD6Ebe4992e16,0.050126676935637700%,staker,
0x303DD2Cbbf1ee581d384c9ECcAa1881f9e7E9B92,0.049946344532209800%,staker,
0xcf3cce78530E79E774e05FD9115C90845A8dc1De,0.049617826330898100%,staker,
