User Address,RFP Allocation,User Type
0x017be03f9c3ac79fbb3be6d4a86935725cd1c158,0.012933285942002200%,General Depositor/Borrower/Protocol User
0x10e0c53c0a6f6cced434089998dbfd6d3483770b,0.016618289882539500%,General Depositor/Borrower/Protocol User
0x5cb76dd36e97d169bfec6c55cc7e5afa2f7a21bf,0.031369245699332000%,General Depositor/Borrower/Protocol User
0xc02bfc8c96477d82ae78d3212b802c4bfc820f90,0.016576619974942300%,General Depositor/Borrower/Protocol User
0x8beab98f1da0f9fe7e7554c5d9150c85ad3916a2,0.023955243084362200%,General Depositor/Borrower/Protocol User
0x4a69951134698d83138db6542aa7f020a4155401,0.034979421063909700%,General Depositor/Borrower/Protocol User
0xe8a4ad98390c1d4129c6e7f769e870163176e35a,0.012813415899341100%,General Depositor/Borrower/Protocol User
0xb5d7443a8699dc84176e2821e009355d6ef40f75,0.023878531801468900%,General Depositor/Borrower/Protocol User
0x9f620ccbcb854f15575bcefffc41dac3173f2b48,0.016459886590053400%,General Depositor/Borrower/Protocol User
0x918dfe9145e0c5a8ef1c9dcb6e5c0b17f669affb,0.045996752060371300%,General Depositor/Borrower/Protocol User
0x7acb7ef3394291224e150b6d39e7624e1e927f5f,0.012664519672860200%,General Depositor/Borrower/Protocol User
0x1c9d6e1c2fa632b5389e1da79595c13e12c7dc1b,0.016329397742076100%,General Depositor/Borrower/Protocol User
0x0b2c2bad715b981d050872a7805013b0abe7b694,0.016297653770491000%,General Depositor/Borrower/Protocol User
0x2ff6fd7a71c393bb65e61c62b5d0b91015689cc2,0.016283187260118100%,General Depositor/Borrower/Protocol User
0xcb07add17956994f09f934893f65bd6a08bbe195,0.049461263610464000%,General Depositor/Borrower/Protocol User
0xb96823ef9fa2b9d9563856843d1665a80dcfcf31,0.027234256076441100%,General Depositor/Borrower/Protocol User
0x5c24b7308637513f593b6e5005135186c85e9c11,0.012442577597721700%,General Depositor/Borrower/Protocol User
0xa9dc8ecbdb6ac02a7d44fd3589252b1886d1ee43,0.027114740080674000%,General Depositor/Borrower/Protocol User
0x399762874e1e0eda081dbbafd646201e306d4abd,0.016018647876487900%,General Depositor/Borrower/Protocol User
0xea6440d3127a9dc223a670e6df6560d92fbb846d,0.056650377363754300%,General Depositor/Borrower/Protocol User
0x9902ffdc94bfd6572a4d6d813e1cc8f86f2965b5,0.023351427110229500%,General Depositor/Borrower/Protocol User
